,state-code,state-name,district-code,district-name,teh-code,teh-name,vill-code,ward-no,area-name,census_id
10030,03,PUNJAB,049,Amritsar ,00258,Baba Bakala ,037745,0000,Raipur Khurd (92),0304900258037745
16927,06,HARYANA,082,Rohtak,00404,Maham,061580,0000,Ajaib(108),0608200404061580
14403,06,HARYANA,074,Karnal,00370,Nilokheri,059057,0000,Barana (32),0607400370059057
738,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,028183,0000,Chulla (320),0303500202028183
7708,03,PUNJAB,044,Muktsar,00240,Gidderbaha,035355,0000,Manianwala (30),0304400240035355
15758,06,HARYANA,078,Fatehabad,00388,Fatehabad,060434,0000,Kheraiwala(86),0607800388060434
2111,03,PUNJAB,036,Kapurthala ,00208,Phagwara ,029645,0000,Chaheru  (83),0303600208029645
13468,06,HARYANA,071,Yamunanagar,00362,Bilaspur,058118,0000,Kurali (284),0607100362058118
8600,03,PUNJAB,048,Patiala,00251,Patran,036242,0000,Matauli (208),0304800251036242
2883,03,PUNJAB,037,Jalandhar,00213,Jalandhar - II,030438,0000,Ali Chak (419),0303700213030438
9985,03,PUNJAB,049,Amritsar ,00258,Baba Bakala ,037700,0000,Rattangarh (84),0304900258037700
11079,03,PUNJAB,051,Rupnagar,00265,Chamkaur Sahib,038811,0000,Phassa (120),0305100265038811
3258,03,PUNJAB,038,Hoshiarpur,00214,Dasua,030830,0000,Data (4),0303800214030830
5355,03,PUNJAB,040,Fatehgarh Sahib,00223,Khamanon,032951,0000,Maheshpura (305),0304000223032951
3482,03,PUNJAB,038,Hoshiarpur,00215,Mukerian ,031056,0000,Mehatpur (216),0303800215031056
15240,06,HARYANA,076,Sonipat,00381,Kharkhoda,059925,0000,Nirthan         (188),0607600381059925
14303,06,HARYANA,073,Kaithal,00369,Fatehpur Pundri,058959,0000,Rasina (35),0607300369058959
9960,03,PUNJAB,049,Amritsar ,00257,Amritsar- II ,037653,0000,Roranwala (393) (part),0304900257037653
6729,03,PUNJAB,043,Firozpur,00234,Zira,034350,0000,Kohala (6),0304300234034350
6925,03,PUNJAB,043,Firozpur,00235,Firozpur,034546,0000,Bandala (328),0304300235034546
810,03,PUNJAB,035,Gurdaspur,00202,Gurdaspur ,028258,0000,Jiwanwal (341),0303500202028258
7518,03,PUNJAB,043,Firozpur,00238,Abohar ,035170,0000,Killianwali  (122),0304300238035170
11430,03,PUNJAB,052,Sahibzada Ajit Singh Nagar,00267,SAS Nagar (Mohali),039167,0000,Lakhnaur (36),0305200267039167
1405,03,PUNJAB,035,Gurdaspur,00204,Dera Baba Nanak  ,028871,0000,Arli Bhan (412),0303500204028871
